,Borough,Neighborhood,Type of home,Number of sales,Lowest sale price,Average sale price,Median sale price,Highest sale price
0,Manhattan,ALPHABET CITY            ,03 THREE FAMILY HOMES   ,1,7738700,7738700,7738700,7738700
1,Manhattan,CHELSEA                  ,01 ONE FAMILY HOMES     ,2,7425000,10212500,10212500,13000000
2,Manhattan,CHELSEA                  ,02 TWO FAMILY HOMES     ,1,6109000,6109000,6109000,6109000
3,Manhattan,CHELSEA                  ,03 THREE FAMILY HOMES   ,2,7250000,7300000,7300000,7350000
4,Manhattan,EAST VILLAGE             ,02 TWO FAMILY HOMES     ,1,6900000,6900000,6900000,6900000
5,Manhattan,EAST VILLAGE             ,03 THREE FAMILY HOMES   ,1,7920400,7920400,7920400,7920400
6,Manhattan,GRAMERCY                 ,02 TWO FAMILY HOMES     ,2,2225000,4787500,4787500,7350000
7,Manhattan,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES     ,6,9999999,17100000,16575000,26000000
8,Manhattan,GREENWICH VILLAGE-WEST   ,01 ONE FAMILY HOMES     ,10,1375000,10275000,8100000,27500000
9,Manhattan,GREENWICH VILLAGE-WEST   ,02 TWO FAMILY HOMES     ,6,820000,6729667,6734000,11750000
10,Manhattan,GREENWICH VILLAGE-WEST   ,03 THREE FAMILY HOMES   ,3,6225000,8975000,6850000,13850000
11,Manhattan,HARLEM-CENTRAL           ,01 ONE FAMILY HOMES     ,10,1000000,2177500,2180000,3300000
12,Manhattan,HARLEM-CENTRAL           ,02 TWO FAMILY HOMES     ,23,500000,2094348,2010000,3600000
13,Manhattan,HARLEM-CENTRAL           ,03 THREE FAMILY HOMES   ,16,875000,2472344,2675000,3780000
14,Manhattan,HARLEM-EAST              ,01 ONE FAMILY HOMES     ,1,2250000,2250000,2250000,2250000
15,Manhattan,HARLEM-EAST              ,02 TWO FAMILY HOMES     ,2,850000,1497500,1497500,2145000
16,Manhattan,HARLEM-EAST              ,03 THREE FAMILY HOMES   ,4,600000,1687500,2025000,2100000
17,Manhattan,HARLEM-UPPER             ,01 ONE FAMILY HOMES     ,5,950000,2339000,2350000,3395000
18,Manhattan,HARLEM-UPPER             ,02 TWO FAMILY HOMES     ,10,661862,1750636,1800000,2600000
19,Manhattan,HARLEM-UPPER             ,03 THREE FAMILY HOMES   ,5,1950000,2245000,2150000,2650000
20,Manhattan,HARLEM-WEST              ,01 ONE FAMILY HOMES     ,1,2260000,2260000,2260000,2260000
21,Manhattan,HARLEM-WEST              ,02 TWO FAMILY HOMES     ,1,1512500,1512500,1512500,1512500
22,Manhattan,HARLEM-WEST              ,03 THREE FAMILY HOMES   ,2,489459,767094,767094,1044729
23,Manhattan,INWOOD                   ,01 ONE FAMILY HOMES     ,3,307242,475747,470000,650000
24,Manhattan,INWOOD                   ,02 TWO FAMILY HOMES     ,2,685000,762500,762500,840000
25,Manhattan,KIPS BAY                 ,02 TWO FAMILY HOMES     ,3,3125000,3875000,3900000,4600000
26,Manhattan,LITTLE ITALY             ,01 ONE FAMILY HOMES     ,1,9700000,9700000,9700000,9700000
27,Manhattan,MANHATTAN VALLEY         ,01 ONE FAMILY HOMES     ,1,4455000,4455000,4455000,4455000
28,Manhattan,MANHATTAN VALLEY         ,02 TWO FAMILY HOMES     ,2,3100000,4225000,4225000,5350000
29,Manhattan,MIDTOWN EAST             ,01 ONE FAMILY HOMES     ,2,5200000,6482500,6482500,7765000
30,Manhattan,MIDTOWN EAST             ,02 TWO FAMILY HOMES     ,1,4875000,4875000,4875000,4875000
31,Manhattan,MIDTOWN EAST             ,03 THREE FAMILY HOMES   ,1,5700000,5700000,5700000,5700000
32,Manhattan,MURRAY HILL              ,01 ONE FAMILY HOMES     ,3,2765000,2913333,2875000,3100000
33,Manhattan,SOHO                     ,01 ONE FAMILY HOMES     ,4,8233333,9564694,8546054,12933334
34,Manhattan,SOHO                     ,02 TWO FAMILY HOMES     ,1,4750000,4750000,4750000,4750000
35,Manhattan,TRIBECA                  ,02 TWO FAMILY HOMES     ,1,12000000,12000000,12000000,12000000
36,Manhattan,UPPER EAST SIDE (59-79)  ,01 ONE FAMILY HOMES     ,13,2250000,9655192,8450000,20400000
37,Manhattan,UPPER EAST SIDE (59-79)  ,02 TWO FAMILY HOMES     ,9,3850000,10466111,10500000,19700000
38,Manhattan,UPPER EAST SIDE (79-96)  ,01 ONE FAMILY HOMES     ,17,1355989,10686314,8950000,28000000
39,Manhattan,UPPER EAST SIDE (79-96)  ,02 TWO FAMILY HOMES     ,9,5600000,8008248,8059218,10000000
40,Manhattan,UPPER EAST SIDE (79-96)  ,03 THREE FAMILY HOMES   ,3,6000000,6431667,6400000,6895000
41,Manhattan,UPPER WEST SIDE (59-79)  ,01 ONE FAMILY HOMES     ,2,7075000,9787500,9787500,12500000
42,Manhattan,UPPER WEST SIDE (59-79)  ,02 TWO FAMILY HOMES     ,1,7850000,7850000,7850000,7850000
43,Manhattan,UPPER WEST SIDE (79-96)  ,01 ONE FAMILY HOMES     ,8,5100000,7706798,7570000,9995000
44,Manhattan,UPPER WEST SIDE (79-96)  ,02 TWO FAMILY HOMES     ,8,561741,5835843,6187500,9500000
45,Manhattan,UPPER WEST SIDE (96-116) ,02 TWO FAMILY HOMES     ,2,6225000,6737500,6737500,7250000
46,Manhattan,WASHINGTON HEIGHTS LOWER ,02 TWO FAMILY HOMES     ,2,250000,871250,871250,1492500
0,Brooklyn,BATH BEACH               ,01 ONE FAMILY HOMES     ,23,638000,829261,829000,1090000
1,Brooklyn,BATH BEACH               ,02 TWO FAMILY HOMES     ,58,340000,947047,917500,1900000
2,Brooklyn,BATH BEACH               ,03 THREE FAMILY HOMES   ,30,400000,1295518,1242500,2050000
3,Brooklyn,BAY RIDGE                ,01 ONE FAMILY HOMES     ,115,234000,1059167,950000,2930000
4,Brooklyn,BAY RIDGE                ,02 TWO FAMILY HOMES     ,125,250000,1098791,1099000,2150000
5,Brooklyn,BAY RIDGE                ,03 THREE FAMILY HOMES   ,9,988000,1325056,1300000,2000000
6,Brooklyn,BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES     ,44,270000,882653,780000,1850000
7,Brooklyn,BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES     ,273,235513,1154184,1070000,2750000
8,Brooklyn,BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES   ,146,200000,1272540,1262500,2800000
9,Brooklyn,BENSONHURST              ,01 ONE FAMILY HOMES     ,50,242500,826114,847500,1350000
10,Brooklyn,BENSONHURST              ,02 TWO FAMILY HOMES     ,151,200000,1060748,990000,3955000
11,Brooklyn,BENSONHURST              ,03 THREE FAMILY HOMES   ,40,250000,1174300,1184000,1800000
12,Brooklyn,BERGEN BEACH             ,01 ONE FAMILY HOMES     ,40,330000,639750,636750,1175000
13,Brooklyn,BERGEN BEACH             ,02 TWO FAMILY HOMES     ,14,250000,665286,722500,850000
14,Brooklyn,BERGEN BEACH             ,03 THREE FAMILY HOMES   ,15,640000,724720,720000,875000
15,Brooklyn,BOERUM HILL              ,01 ONE FAMILY HOMES     ,9,997885,3178098,3350000,5000000
16,Brooklyn,BOERUM HILL              ,02 TWO FAMILY HOMES     ,20,1700000,3431300,2725000,13600000
17,Brooklyn,BOERUM HILL              ,03 THREE FAMILY HOMES   ,4,1249951,2597488,2920000,3300000
18,Brooklyn,BOROUGH PARK             ,01 ONE FAMILY HOMES     ,60,350000,1021691,937500,3000000
19,Brooklyn,BOROUGH PARK             ,02 TWO FAMILY HOMES     ,186,285700,1193939,1100000,5000000
20,Brooklyn,BOROUGH PARK             ,03 THREE FAMILY HOMES   ,70,395000,1384872,1382500,2705000
21,Brooklyn,BRIGHTON BEACH           ,01 ONE FAMILY HOMES     ,12,271799,534650,450000,1600000
22,Brooklyn,BRIGHTON BEACH           ,02 TWO FAMILY HOMES     ,18,350000,656323,673750,865000
23,Brooklyn,BRIGHTON BEACH           ,03 THREE FAMILY HOMES   ,9,350000,646156,680000,855000
24,Brooklyn,BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES     ,4,2350000,4712500,4250000,8000000
25,Brooklyn,BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES     ,6,3900000,6391667,6875000,9400000
26,Brooklyn,BROOKLYN HEIGHTS         ,03 THREE FAMILY HOMES   ,1,3200000,3200000,3200000,3200000
27,Brooklyn,BROWNSVILLE              ,01 ONE FAMILY HOMES     ,33,224705,340721,350000,588000
28,Brooklyn,BROWNSVILLE              ,02 TWO FAMILY HOMES     ,46,230000,551159,557900,1175000
29,Brooklyn,BROWNSVILLE              ,03 THREE FAMILY HOMES   ,10,228500,522185,560000,775000
30,Brooklyn,BUSH TERMINAL            ,01 ONE FAMILY HOMES     ,1,925000,925000,925000,925000
31,Brooklyn,BUSH TERMINAL            ,02 TWO FAMILY HOMES     ,15,450000,863867,880000,1175000
32,Brooklyn,BUSH TERMINAL            ,03 THREE FAMILY HOMES   ,5,409000,906200,900000,1745000
33,Brooklyn,BUSHWICK                 ,01 ONE FAMILY HOMES     ,20,340000,1004700,985000,2000000
34,Brooklyn,BUSHWICK                 ,02 TWO FAMILY HOMES     ,193,200000,929514,900000,2450000
35,Brooklyn,BUSHWICK                 ,03 THREE FAMILY HOMES   ,68,205000,972828,990000,1730000
