Job Title,Level,Annual Mean,PRSE
All ,total,62870,0.6
Management ,major,161960,0.7
Chief Executives,detailed,248670,2
General and Operations Managers,detailed,166470,0.9
Legislators,detailed,63050,4.9
Advertising and Promotions Managers,detailed,174680,2.4
Marketing Managers,detailed,192460,1.1
Sales Managers,detailed,195060,1.2
Public Relations and Fundraising Managers,detailed,173290,2.4
Administrative Services Managers,detailed,137870,0.8
Computer and Information Systems Managers,detailed,194350,1.6
Financial Managers,detailed,204070,1.3
Industrial Production Managers,detailed,138620,1.4
Purchasing Managers,detailed,158210,1.5
"Transportation, Storage, and Distribution Managers",detailed,121480,1.2
Compensation and Benefits Managers,detailed,164300,3.3
Human Resources Managers,detailed,154250,2.9
Training and Development Managers,detailed,152220,1.4
"Farmers, Ranchers, and Other Agricultural Managers",detailed,77940,9.3
Construction Managers,detailed,132520,2.3
"Education Administrators, Preschool and Childcare Center/Program",detailed,72720,3.7
"Education Administrators, Elementary and Secondary School",detailed,132860,2.4
"Education Administrators, Postsecondary",detailed,125390,2.3
"Education Administrators, All Other",detailed,103330,3.1
Architectural and Engineering Managers,detailed,166540,1.4
Food Service Managers,detailed,78450,2
Funeral Service Managers,detailed,130280,14.8
Lodging Managers,detailed,87750,4.1
Medical and Health Services Managers,detailed,138190,1.6
Natural Sciences Managers,detailed,180990,2.7
Postmasters and Mail Superintendents,detailed,81280,0.9
"Property, Real Estate, and Community Association Managers",detailed,106010,3.3
Social and Community Service Managers,detailed,91690,1.1
Emergency Management Directors,detailed,111320,3.1
"Managers, All Other",detailed,140450,1.3
Business and Financial Operations ,major,97410,0.9
"Agents and Business Managers of Artists, Performers, and Athletes",detailed,102040,7.6
Buyers and Purchasing Agents,detailed,77640,1.2
"Claims Adjusters, Examiners, and Investigators",detailed,73270,1.5
"Insurance Appraisers, Auto Damage",detailed,68550,3.8
Compliance Officers,detailed,81470,0.9
Cost Estimators,detailed,78070,2
Human Resources Specialists,detailed,78760,1.1
Labor Relations Specialists,detailed,87160,5.2
Logisticians,detailed,84250,1.2
Management Analysts,detailed,115530,1.9
"Meeting, Convention, and Event Planners",detailed,67010,3.7
Fundraisers,detailed,67490,2.3
"Compensation, Benefits, and Job Analysis Specialists",detailed,80820,1.3
Training and Development Specialists,detailed,73580,1.8
Market Research Analysts and Marketing Specialists,detailed,81630,1
"Business Operations Specialists, All Other",detailed,81370,0.8
Accountants and Auditors,detailed,99140,1.3
Appraisers and Assessors of Real Estate,detailed,77670,6.6
Budget Analysts,detailed,83170,1.3
Credit Analysts,detailed,118610,2.5
Financial Analysts,detailed,135110,2.1
Personal Financial Advisors,detailed,163710,2.7
Insurance Underwriters,detailed,101320,3.4
Financial Examiners,detailed,118190,3
Credit Counselors,detailed,59150,1.7
Loan Officers,detailed,112860,4.4
"Tax Examiners and Collectors, and Revenue Agents",detailed,76250,0.9
Tax Preparers,detailed,56550,8.6
"Financial Specialists, All Other",detailed,96730,2.7
Computer and Mathematical ,major,102610,0.8
Computer and Information Research Scientists,detailed,135030,2.8
Computer Systems Analysts,detailed,111010,1.4
Information Security Analysts,detailed,125570,1.5
Computer Programmers,detailed,94970,2.1
"Software Developers, Applications",detailed,116260,1.1
"Software Developers, Systems Software",detailed,120380,1.1
Web Developers,detailed,84910,1.7
Database Administrators,detailed,102120,1.2
Network and Computer Systems Administrators,detailed,100750,0.8
Computer Network Architects,detailed,121400,3.1
Computer User Support Specialists,detailed,63310,1.1
Computer Network Support Specialists,detailed,82620,1.4
"Computer , All Other",detailed,99100,4
Actuaries,detailed,142510,4.9
Mathematicians,detailed,101340,4.2
Operations Research Analysts,detailed,107770,2.5
Statisticians,detailed,108930,2.7
Miscellaneous Mathematical Science ,detailed,107730,9.8
Architecture and Engineering ,major,91520,1
"Architects, Except Landscape and Naval",detailed,100860,4
Landscape Architects,detailed,78720,5.4
