,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
0, BATHGATE                  , 01 ONE FAMILY HOMES      ,4.0," 220,000 "," 253,760 "," 252,520 "," 290,000 "
1, BATHGATE                  , 02 TWO FAMILY HOMES      ,15.0," 240,000 "," 443,767 "," 470,000 "," 680,000 "
2, BATHGATE                  , 03 THREE FAMILY HOMES    ,5.0," 350,000 "," 417,200 "," 390,000 "," 545,000 "
3, BAYCHESTER                , 01 ONE FAMILY HOMES      ,90.0," 217,500 "," 357,620 "," 353,500 "," 700,000 "
4, BAYCHESTER                , 02 TWO FAMILY HOMES      ,104.0," 203,000 "," 430,514 "," 433,190 "," 789,000 "
5, BAYCHESTER                , 03 THREE FAMILY HOMES    ,22.0," 205,000 "," 503,351 "," 497,000 "," 847,567 "
6, BEDFORD PARK/NORWOOD      , 01 ONE FAMILY HOMES      ,9.0," 210,000 "," 334,611 "," 344,500 "," 475,000 "
7, BEDFORD PARK/NORWOOD      , 02 TWO FAMILY HOMES      ,34.0," 225,000 "," 477,797 "," 470,000 "," 1,150,000 "
8, BEDFORD PARK/NORWOOD      , 03 THREE FAMILY HOMES    ,6.0," 271,100 "," 432,811 "," 436,500 "," 680,000 "
9, BELMONT                   , 02 TWO FAMILY HOMES      ,19.0," 270,000 "," 455,824 "," 419,000 "," 930,000 "
10, BELMONT                   , 03 THREE FAMILY HOMES    ,9.0," 319,000 "," 528,778 "," 465,000 "," 860,000 "
11, BRONX PARK                , 02 TWO FAMILY HOMES      ,1.0," 560,000 "," 560,000 "," 560,000 "," 560,000 "
12, BRONXDALE                 , 01 ONE FAMILY HOMES      ,46.0," 220,000 "," 355,666 "," 340,000 "," 680,000 "
13, BRONXDALE                 , 02 TWO FAMILY HOMES      ,70.0," 207,000 "," 475,098 "," 459,000 "," 1,100,000 "
14, BRONXDALE                 , 03 THREE FAMILY HOMES    ,15.0," 242,100 "," 498,638 "," 503,958 "," 778,223 "
15, CASTLE HILL/UNIONPORT     , 01 ONE FAMILY HOMES      ,31.0," 220,000 "," 372,382 "," 375,000 "," 475,000 "
16, CASTLE HILL/UNIONPORT     , 02 TWO FAMILY HOMES      ,46.0," 220,000 "," 436,233 "," 432,500 "," 749,112 "
17, CASTLE HILL/UNIONPORT     , 03 THREE FAMILY HOMES    ,16.0," 275,000 "," 496,723 "," 525,000 "," 746,000 "
