,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
0,ANNADALE                 ,01 ONE FAMILY HOMES     ,88,"275,000","611,759","578,250","2,000,000"
1,ANNADALE                 ,02 TWO FAMILY HOMES     ,48,"200,000","789,706","791,129","1,450,000"
2,ARDEN HEIGHTS            ,01 ONE FAMILY HOMES     ,170,"200,000","360,338","345,000","620,000"
3,ARDEN HEIGHTS            ,02 TWO FAMILY HOMES     ,29,"278,545","541,301","528,000","955,000"
4,ARROCHAR                 ,01 ONE FAMILY HOMES     ,16,"225,000","591,350","537,500","1,400,000"
5,ARROCHAR                 ,02 TWO FAMILY HOMES     ,5,"497,500","632,500","560,000","830,000"
6,ARROCHAR                 ,03 THREE FAMILY HOMES   ,4,"450,000","616,250","575,000","865,000"
7,ARROCHAR-SHORE ACRES     ,01 ONE FAMILY HOMES     ,12,"239,304","397,488","364,444","590,000"
8,ARROCHAR-SHORE ACRES     ,02 TWO FAMILY HOMES     ,5,"350,500","497,100","470,000","715,000"
9,ARROCHAR-SHORE ACRES     ,03 THREE FAMILY HOMES   ,1,"606,000","606,000","606,000","606,000"
10,BLOOMFIELD               ,01 ONE FAMILY HOMES     ,1,"499,900","499,900","499,900","499,900"
11,BULLS HEAD               ,01 ONE FAMILY HOMES     ,130,"200,000","421,408","407,788","815,000"
12,BULLS HEAD               ,02 TWO FAMILY HOMES     ,56,"240,000","522,592","497,500","800,000"
13,BULLS HEAD               ,03 THREE FAMILY HOMES   ,1,"570,000","570,000","570,000","570,000"
14,CASTLETON CORNERS        ,01 ONE FAMILY HOMES     ,71,"215,000","492,085","480,000","799,326"
15,CASTLETON CORNERS        ,02 TWO FAMILY HOMES     ,17,"240,000","541,882","554,500","832,000"
16,CASTLETON CORNERS        ,03 THREE FAMILY HOMES   ,1,"503,200","503,200","503,200","503,200"
17,CLOVE LAKES              ,01 ONE FAMILY HOMES     ,61,"200,000","525,280","500,000","1,355,000"
18,CLOVE LAKES              ,02 TWO FAMILY HOMES     ,6,"290,000","531,833","492,000","825,000"
19,CONCORD                  ,01 ONE FAMILY HOMES     ,64,"210,000","347,537","327,500","687,030"
20,CONCORD                  ,02 TWO FAMILY HOMES     ,15,"227,000","394,725","350,000","680,000"
21,CONCORD                  ,03 THREE FAMILY HOMES   ,1,"495,000","495,000","495,000","495,000"
22,CONCORD-FOX HILLS        ,01 ONE FAMILY HOMES     ,14,"249,000","328,185","316,125","448,000"
23,DONGAN HILLS             ,01 ONE FAMILY HOMES     ,34,"235,300","538,313","519,000","804,417"
24,DONGAN HILLS             ,02 TWO FAMILY HOMES     ,19,"292,000","663,252","650,000","915,406"
25,DONGAN HILLS             ,03 THREE FAMILY HOMES   ,1,"760,000","760,000","760,000","760,000"
26,DONGAN HILLS-COLONY      ,01 ONE FAMILY HOMES     ,23,"420,000","848,899","885,000","1,800,000"
27,DONGAN HILLS-COLONY      ,02 TWO FAMILY HOMES     ,4,"500,000","657,500","680,000","770,000"
28,DONGAN HILLS-COLONY      ,03 THREE FAMILY HOMES   ,2,"399,000","662,000","662,000","925,000"
29,DONGAN HILLS-OLD TOWN    ,01 ONE FAMILY HOMES     ,2,"277,000","318,500","318,500","360,000"
30,DONGAN HILLS-OLD TOWN    ,02 TWO FAMILY HOMES     ,1,"625,000","625,000","625,000","625,000"
31,ELTINGVILLE              ,01 ONE FAMILY HOMES     ,145,"216,000","496,777","465,000","3,800,000"
32,ELTINGVILLE              ,02 TWO FAMILY HOMES     ,54,"200,000","627,134","627,000","905,224"
33,EMERSON HILL             ,01 ONE FAMILY HOMES     ,9,"520,000","1,132,222","995,000","2,400,000"
34,EMERSON HILL             ,02 TWO FAMILY HOMES     ,4,"472,500","685,625","710,000","850,000"
35,FRESH KILLS              ,01 ONE FAMILY HOMES     ,1,"309,003","309,003","309,003","309,003"
36,GRANT CITY               ,01 ONE FAMILY HOMES     ,34,"207,000","483,325","469,500","875,000"
37,GRANT CITY               ,02 TWO FAMILY HOMES     ,13,"410,000","612,406","600,000","905,000"
38,GRASMERE                 ,01 ONE FAMILY HOMES     ,44,"200,000","553,267","529,745","1,250,000"
39,GRASMERE                 ,02 TWO FAMILY HOMES     ,12,"450,000","664,583","565,000","1,040,000"
40,GREAT KILLS              ,01 ONE FAMILY HOMES     ,371,"225,000","455,336","446,000","1,200,000"
